,名前,名詞,エネルギー,タンパク質,脂質,食物繊維総量,炭水化物,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,ビタミンA,ビタミンD,ビタミンE,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン,ビタミン6,ビタミン12,葉酸,パントテン酸,ビオチン,ビタミンC,time
8,アマランサス　玄穀,"['アマランサス', '玄', '穀']",343.0,12.7,6.0,7.4,64.9,1.0,600.0,160.0,270.0,540.0,9.4,5.8,0.92,6.14,1,13.0,7.0,59.0,0.0,0.0,1.3,0.0,0.04,0.14,1.0,0.58,0.0,130.0,1.69,16.0,0.0,29.0
9,あわ　精白粒,"['あわ', '精白', '粒']",346.0,11.2,4.4,3.3,69.7,1.0,300.0,14.0,110.0,280.0,4.8,2.5,0.49,0.88,0,2.0,1.0,22.0,0.0,0.0,0.6,0.0,0.56,0.07,2.9,0.18,0.0,29.0,1.83,14.0,0.0,29.0
10,あわ　あわもち,"['あわ', 'あわ', 'もち']",210.0,5.1,1.3,1.5,45.3,0.0,62.0,5.0,12.0,39.0,0.7,1.1,0.2,0.46,0,1.0,0.0,40.0,0.0,0.0,0.1,0.0,0.08,0.01,0.3,0.03,0.0,7.0,0.61,3.4,0.0,28.0
11,えんばく　オートミール,"['ん', 'ばく', 'オートミール']",350.0,13.7,5.7,9.4,69.1,3.0,260.0,47.0,100.0,370.0,3.9,2.1,0.28,0.0,0,18.0,0.0,110.0,0.0,0.0,0.6,0.0,0.2,0.08,1.1,0.11,0.0,30.0,1.29,22.0,0.0,24.0
12,おおむぎ　七分つき押麦,"['むぎ', '七', '分', 'つき', '押麦']",343.0,10.9,2.1,10.3,72.1,2.0,220.0,23.0,46.0,180.0,1.3,1.4,0.32,0.85,0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.22,0.07,3.2,0.14,0.0,17.0,0.43,0.0,0.0,22.0
13,おおむぎ　押麦　乾,"['むぎ', '押麦', '乾']",329.0,6.7,1.5,12.2,78.3,2.0,210.0,21.0,40.0,160.0,1.1,1.1,0.22,0.86,0,1.0,0.0,11.0,0.0,0.0,0.1,0.0,0.11,0.03,3.4,0.13,0.0,10.0,0.4,2.7,0.0,12.0
14,おおむぎ　押麦　めし,"['むぎ', '押麦', 'めし']",118.0,2.2,0.5,4.2,28.5,0.0,38.0,6.0,10.0,46.0,0.4,0.4,0.08,0.24,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.02,0.0,0.8,0.03,0.0,3.0,0.13,0.8,0.0,12.0
15,おおむぎ　米粒麦,"['むぎ', '米', '粒', '麦']",333.0,7.0,2.1,8.7,76.2,2.0,170.0,17.0,25.0,140.0,1.2,1.2,0.37,0.0,0,1.0,0.0,9.0,0.0,0.0,0.1,0.0,0.19,0.05,2.3,0.19,0.0,10.0,0.64,3.5,0.0,25.0
16,おおむぎ　大麦めん　乾,"['むぎ', '大麦', 'めん', '乾']",343.0,12.9,1.7,6.3,68.0,1100.0,240.0,27.0,63.0,200.0,2.1,1.5,0.33,0.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.04,3.5,0.09,0.0,19.0,0.64,0.0,0.0,10.0
17,おおむぎ　大麦めん　ゆで,"['むぎ', '大麦', 'めん']",121.0,4.8,0.6,2.5,24.3,64.0,10.0,12.0,18.0,61.0,0.9,0.6,0.13,0.27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,1.0,0.01,0.0,5.0,0.26,0.0,0.0,22.0
18,おおむぎ　麦こがし,"['むぎ', '麦']",368.0,12.5,5.0,15.5,77.1,2.0,490.0,43.0,130.0,340.0,3.1,3.8,0.41,1.81,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.09,0.1,7.6,0.09,0.0,24.0,0.28,0.0,0.0,15.0
19,キヌア　玄穀,"['キヌア', '玄', '穀']",344.0,13.4,3.2,6.2,69.0,35.0,580.0,46.0,180.0,410.0,4.3,2.8,0.47,2.45,2,3.0,3.0,23.0,0.0,0.0,2.6,0.0,0.45,0.24,1.2,0.39,0.0,190.0,0.95,23.0,0.0,11.0
20,きび　精白粒,"['び', '精白', '粒']",353.0,11.3,3.3,1.6,70.9,2.0,200.0,9.0,84.0,160.0,2.1,2.7,0.38,0.0,0,2.0,1.0,16.0,0.0,0.0,0.0,0.0,0.34,0.09,3.7,0.2,0.0,13.0,0.95,7.9,0.0,24.0
21,こむぎ　［玄穀］　国産　普通,"['こ', 'むぎ', '玄', '穀', '国産']",329.0,10.8,3.1,14.0,72.1,2.0,440.0,26.0,82.0,350.0,3.2,2.6,0.38,3.9,1,3.0,1.0,29.0,0.0,0.0,1.2,0.0,0.41,0.09,6.3,0.35,0.0,38.0,1.03,7.5,0.0,18.0
22,こむぎ　［玄穀］　輸入　軟質,"['こ', 'むぎ', '玄', '穀', '輸入', '軟質']",344.0,10.1,3.3,11.2,75.2,2.0,390.0,36.0,110.0,290.0,2.9,1.7,0.32,3.79,0,5.0,1.0,19.0,0.0,0.0,1.2,0.0,0.49,0.09,5.0,0.34,0.0,40.0,1.07,9.6,0.0,18.0
23,こむぎ　［玄穀］　輸入　硬質,"['こ', 'むぎ', '玄', '穀', '輸入', '硬質']",332.0,13.0,3.0,11.4,69.4,2.0,340.0,26.0,140.0,320.0,3.2,3.1,0.43,4.09,0,54.0,1.0,47.0,0.0,0.0,1.2,0.0,0.35,0.09,5.8,0.34,0.0,49.0,1.29,11.0,0.0,15.0
24,こむぎ　［小麦粉］　薄力粉　1等,"['こ', 'むぎ', '小麦粉', '薄力粉', '1', '等']",349.0,8.3,1.5,2.5,75.8,0.0,110.0,20.0,12.0,60.0,0.5,0.3,0.08,0.43,0,4.0,2.0,12.0,0.0,0.0,0.3,0.0,0.11,0.03,0.6,0.03,0.0,9.0,0.53,1.2,0.0,16.0
25,こむぎ　［小麦粉］　薄力粉　2等,"['こ', 'むぎ', '小麦粉', '薄力粉', '2', '等']",345.0,9.3,1.9,2.6,74.3,0.0,130.0,23.0,30.0,77.0,0.9,0.7,0.18,0.77,0,3.0,2.0,14.0,0.0,0.0,1.0,0.0,0.21,0.04,1.0,0.09,0.0,14.0,0.62,2.5,0.0,14.0
26,こむぎ　［小麦粉］　中力粉　1等,"['こ', 'むぎ', '小麦粉', '中', '力', '粉', '1', '等']",337.0,9.0,1.6,2.8,75.1,1.0,100.0,17.0,18.0,64.0,0.5,0.5,0.11,0.43,0,7.0,0.0,9.0,0.0,0.0,0.3,0.0,0.1,0.03,0.6,0.05,0.0,8.0,0.47,1.5,0.0,16.0
27,こむぎ　［小麦粉］　中力粉　2等,"['こ', 'むぎ', '小麦粉', '中', '力', '粉', '2', '等']",346.0,9.7,1.8,2.1,74.0,1.0,110.0,24.0,26.0,80.0,1.1,0.6,0.14,0.77,0,7.0,2.0,10.0,0.0,0.0,0.8,0.0,0.22,0.04,1.2,0.07,0.0,12.0,0.66,2.6,0.0,15.0
28,こむぎ　［小麦粉］　強力粉　1等,"['こ', 'むぎ', '小麦粉', '強力粉', '1', '等']",337.0,11.8,1.5,2.7,71.7,0.0,89.0,17.0,23.0,64.0,0.9,0.8,0.15,0.32,0,39.0,1.0,26.0,0.0,0.0,0.3,0.0,0.09,0.04,0.8,0.06,0.0,16.0,0.77,1.7,0.0,12.0
29,こむぎ　［小麦粉］　強力粉　2等,"['こ', 'むぎ', '小麦粉', '強力粉', '2', '等']",343.0,12.6,1.7,2.1,70.6,0.0,86.0,21.0,36.0,86.0,1.0,1.0,0.19,0.58,0,49.0,1.0,30.0,0.0,0.0,0.5,0.0,0.13,0.04,1.1,0.08,0.0,18.0,0.93,2.6,0.0,28.0
30,こむぎ　［小麦粉］　強力粉　全粒粉,"['こ', 'むぎ', '小麦粉', '強力粉', '全粒粉']",320.0,12.8,2.9,11.2,68.2,2.0,330.0,26.0,140.0,310.0,3.1,3.0,0.42,4.02,0,47.0,3.0,44.0,0.0,0.0,1.0,0.0,0.34,0.09,5.7,0.33,0.0,48.0,1.27,11.0,0.0,28.0
31,こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,"['こ', 'むぎ', '小麦粉', 'プレ', 'ミックス', '粉', 'お好み焼き', '用']",335.0,10.1,1.9,2.8,73.6,1400.0,210.0,64.0,31.0,320.0,1.0,0.7,0.13,0.92,1400,8.0,3.0,15.0,0.0,0.1,0.6,1.0,0.21,0.03,1.5,0.07,0.1,17.0,0.41,2.4,0.0,21.0
32,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,"['こ', 'むぎ', '小麦粉', 'プレ', 'ミックス', '粉', 'ホットケーキ', '用']",360.0,7.8,4.0,1.8,74.4,390.0,230.0,100.0,12.0,170.0,0.5,0.3,0.07,0.0,0,3.0,5.0,11.0,9.0,0.1,0.5,1.0,0.1,0.08,0.5,0.04,0.1,10.0,0.48,1.5,0.0,23.0
33,こむぎ　［小麦粉］　プレミックス粉　から揚げ用,"['こ', 'むぎ', '小麦粉', 'プレ', 'ミックス', '粉', '用']",311.0,10.2,1.2,2.6,70.0,3800.0,280.0,110.0,39.0,130.0,1.2,0.7,0.1,0.96,1,6.0,6.0,23.0,0.0,0.0,0.3,2.0,0.15,0.07,1.3,0.12,0.0,26.0,0.33,4.3,0.0,25.0
34,こむぎ　［小麦粉］　プレミックス粉　天ぷら用,"['こ', 'むぎ', '小麦粉', 'プレ', 'ミックス', '粉', '天ぷら', '用']",337.0,8.8,1.3,2.5,76.1,210.0,160.0,140.0,19.0,120.0,0.6,0.5,0.12,0.62,1,3.0,2.0,10.0,0.0,0.0,0.3,0.0,0.12,0.99,0.9,0.06,0.0,12.0,0.35,1.3,0.0,13.0
35,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,"['こ', 'むぎ', '小麦粉', 'プレ', 'ミックス', '粉', '天ぷら', '用', 'バッター']",136.0,3.3,0.5,1.0,30.2,64.0,67.0,84.0,6.0,51.0,0.2,0.1,0.04,0.2,1,1.0,1.0,3.0,0.0,0.0,0.1,0.0,0.04,0.16,0.4,0.02,0.0,3.0,0.19,0.5,0.0,13.0
36,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,"['こ', 'むぎ', '小麦粉', 'プレ', 'ミックス', '粉', '天ぷら', '用', 'バッター', '揚げ']",588.0,4.3,47.7,3.3,37.0,79.0,93.0,100.0,8.0,63.0,0.3,0.1,0.04,0.26,0,1.0,2.0,4.0,0.0,0.0,7.6,81.0,0.05,0.14,0.5,0.03,0.0,4.0,0.21,0.7,0.0,18.0
37,こむぎ　［パン類］　角形食パン　食パン,"['こ', 'むぎ', 'パン', '類', '角形', '食パン', '食パン']",248.0,8.9,4.1,4.2,46.4,470.0,86.0,22.0,18.0,67.0,0.5,0.5,0.09,0.25,1,22.0,1.0,15.0,0.0,0.0,0.4,0.0,0.07,0.05,1.1,0.03,0.0,30.0,0.42,2.3,0.0,21.0
38,こむぎ　［パン類］　角形食パン　焼き,"['こ', 'むぎ', 'パン', '類', '角形', '食パン', '焼き']",269.0,9.7,4.5,4.6,50.6,520.0,93.0,26.0,20.0,77.0,0.5,0.6,0.1,0.28,1,25.0,1.0,17.0,0.0,0.0,0.4,0.0,0.07,0.05,1.2,0.03,0.0,30.0,0.45,2.2,0.0,13.0
39,こむぎ　［パン類］　角形食パン　耳を除いたもの,"['こ', 'むぎ', 'パン', '類', '角形', '食パン', '耳', 'もの']",226.0,8.2,3.7,3.8,42.6,440.0,78.0,20.0,16.0,61.0,0.4,0.4,0.08,0.23,1,20.0,1.0,12.0,0.0,0.0,0.3,0.0,0.06,0.05,1.1,0.04,0.0,17.0,0.3,2.2,0.0,27.0
40,こむぎ　［パン類］　角形食パン　耳,"['こ', 'むぎ', 'パン', '類', '角形', '食パン', '耳']",273.0,9.7,4.5,4.7,50.8,510.0,92.0,23.0,18.0,73.0,0.5,0.6,0.1,0.27,1,22.0,1.0,14.0,0.0,0.0,0.4,0.0,0.06,0.06,1.1,0.05,0.0,27.0,0.37,2.2,0.0,27.0
41,こむぎ　［パン類］　食パン　リーンタイプ,"['こ', 'むぎ', 'パン', '類', '食パン', 'リーンタイプ']",246.0,8.0,3.7,2.0,47.5,520.0,67.0,12.0,16.0,46.0,0.6,0.6,0.1,0.21,0,25.0,1.0,17.0,0.0,0.3,0.4,0.0,0.1,0.05,0.6,0.04,0.0,28.0,0.54,2.5,0.0,20.0
42,こむぎ　［パン類］　食パン　リッチタイプ,"['こ', 'むぎ', 'パン', '類', '食パン', 'リッチ', 'タイプ']",256.0,7.8,6.0,1.7,45.6,440.0,88.0,25.0,15.0,62.0,0.6,0.7,0.09,0.18,3,23.0,1.0,15.0,39.0,0.1,0.3,2.0,0.09,0.09,0.8,0.05,0.1,42.0,0.51,2.8,0.0,21.0
43,こむぎ　［パン類］　山形食パン　食パン,"['こ', 'むぎ', 'パン', '類', '山形', '食パン', '食パン']",246.0,7.8,3.5,1.8,47.9,490.0,76.0,18.0,16.0,51.0,0.6,0.6,0.1,0.21,1,24.0,1.0,16.0,0.0,0.0,0.4,0.0,0.08,0.06,0.8,0.05,0.0,34.0,0.54,2.4,0.0,15.0
44,こむぎ　［パン類］　コッペパン,"['こ', 'むぎ', 'パン', '類', 'コッペパン']",259.0,8.5,3.8,2.0,49.1,520.0,95.0,37.0,24.0,75.0,1.0,0.7,0.12,0.39,0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.08,0.08,0.7,0.04,0.0,45.0,0.63,0.0,0.0,18.0
45,こむぎ　［パン類］　乾パン,"['こ', 'むぎ', 'パン', '類', '乾パン']",386.0,9.5,4.4,3.1,78.8,490.0,160.0,30.0,27.0,95.0,1.2,0.6,0.18,0.82,0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.14,0.06,0.9,0.06,0.0,20.0,0.41,0.0,0.0,29.0
46,こむぎ　［パン類］　フランスパン,"['こ', 'むぎ', 'パン', '類', 'フランス', 'パン']",289.0,9.4,1.3,2.7,57.5,620.0,110.0,16.0,22.0,72.0,0.9,0.8,0.14,0.39,0,29.0,1.0,20.0,0.0,0.0,0.1,0.0,0.08,0.05,1.1,0.04,0.0,33.0,0.45,1.9,0.0,16.0
47,こむぎ　［パン類］　ライ麦パン,"['こ', 'むぎ', 'パン', '類', 'ライ麦', 'パン']",252.0,8.4,2.2,5.6,52.7,470.0,190.0,16.0,40.0,130.0,1.4,1.3,0.18,0.87,0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.16,0.06,1.3,0.09,0.0,34.0,0.46,0.0,0.0,16.0
48,こむぎ　［パン類］　全粒粉パン,"['こ', 'むぎ', 'パン', '類', '全粒粉', 'パン']",251.0,7.9,5.7,4.5,45.5,410.0,140.0,14.0,51.0,120.0,1.3,0.4,0.18,1.35,0,27.0,1.0,22.0,0.0,0.0,0.8,0.0,0.17,0.07,2.4,0.13,0.0,49.0,0.67,5.4,0.0,18.0
49,こむぎ　［パン類］　ぶどうパン,"['こ', 'むぎ', 'パン', '類', 'ぶどう', 'パン']",263.0,8.2,3.5,2.2,51.1,400.0,210.0,32.0,23.0,86.0,0.9,0.6,0.15,0.32,0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.11,0.05,1.2,0.07,0.0,33.0,0.42,0.0,0.0,21.0
50,こむぎ　［パン類］　ロールパン,"['こ', 'むぎ', 'パン', '類', 'ロールパン']",309.0,10.1,9.0,2.0,48.6,490.0,110.0,44.0,22.0,97.0,0.7,0.8,0.12,0.29,0,0.0,0.0,0.0,0.0,0.1,0.5,0.0,0.1,0.06,1.3,0.03,0.0,38.0,0.61,0.0,0.0,12.0
51,こむぎ　［パン類］　クロワッサン　レギュラータイプ,"['こ', 'むぎ', 'パン', '類', 'クロワッサン', 'レギュラー', 'タイプ']",406.0,6.5,20.4,1.9,51.5,530.0,110.0,27.0,14.0,65.0,0.4,0.5,0.08,0.26,3,5.0,0.0,6.0,34.0,1.4,2.6,7.0,0.11,0.09,0.9,0.05,0.1,46.0,0.42,3.9,0.0,28.0
52,こむぎ　［パン類］　クロワッサン　リッチタイプ,"['こ', 'むぎ', 'パン', '類', 'クロワッサン', 'リッチ', 'タイプ']",438.0,7.9,26.8,1.8,43.9,470.0,90.0,21.0,17.0,67.0,0.6,0.6,0.1,0.29,0,0.0,0.0,0.0,0.0,0.1,1.9,0.0,0.08,0.03,1.0,0.03,0.0,33.0,0.44,0.0,0.0,18.0
53,こむぎ　［パン類］　くるみパン,"['こ', 'むぎ', 'パン', '類', 'くるみ', 'パン']",292.0,8.2,12.6,2.4,38.7,310.0,150.0,35.0,33.0,88.0,0.8,0.9,0.23,0.61,2,18.0,1.0,12.0,15.0,0.1,0.4,2.0,0.11,0.09,0.8,0.11,0.0,45.0,0.55,2.9,0.0,20.0
54,こむぎ　［パン類］　イングリッシュマフィン,"['こ', 'むぎ', 'パン', '類', 'イングリッシュマフィン']",224.0,8.1,3.6,1.2,40.8,480.0,84.0,53.0,19.0,96.0,0.9,0.8,0.12,0.28,0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.15,0.08,1.2,0.05,0.0,23.0,0.32,0.0,0.0,15.0
55,こむぎ　［パン類］　ナン,"['こ', 'むぎ', 'パン', '類', 'ナン']",257.0,10.3,3.4,2.0,47.6,530.0,97.0,11.0,22.0,77.0,0.8,0.7,0.11,0.3,0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.13,0.06,1.3,0.05,0.0,36.0,0.55,0.0,0.0,25.0
56,こむぎ　［パン類］　ベーグル,"['こ', 'むぎ', 'パン', '類', 'ベーグル']",270.0,9.6,2.0,2.5,54.6,460.0,97.0,24.0,24.0,81.0,1.3,0.7,0.11,0.45,0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.19,0.08,2.0,0.06,0.0,47.0,0.28,0.0,0.0,15.0
57,こむぎ　［うどん・そうめん類］　うどん　生,"['こ', 'むぎ', 'うどん', 'めん類', 'うどん', '生']",249.0,6.1,0.6,3.6,56.8,1000.0,90.0,18.0,13.0,49.0,0.3,0.3,0.08,0.39,2,6.0,2.0,7.0,0.0,0.0,0.2,0.0,0.09,0.03,0.6,0.03,0.0,5.0,0.36,0.8,0.0,16.0
58,こむぎ　［うどん・そうめん類］　うどん　ゆで,"['こ', 'むぎ', 'うどん', 'めん類', 'うどん']",95.0,2.6,0.4,1.3,21.6,120.0,9.0,6.0,6.0,18.0,0.2,0.1,0.04,0.12,0,2.0,1.0,2.0,0.0,0.0,0.1,0.0,0.02,0.01,0.2,0.01,0.0,2.0,0.13,0.3,0.0,28.0
59,こむぎ　［うどん・そうめん類］　うどん　半生うどん,"['こ', 'むぎ', 'うどん', 'めん類', 'うどん', '半生', 'うどん']",296.0,7.8,3.4,4.1,62.5,1200.0,98.0,22.0,15.0,64.0,0.6,0.3,0.09,0.45,2,6.0,2.0,8.0,0.0,0.0,0.2,0.0,0.1,0.03,0.7,0.03,0.0,6.0,0.41,0.9,0.0,15.0
60,こむぎ　［うどん・そうめん類］　干しうどん　乾,"['こ', 'むぎ', 'うどん', 'めん類', 'うどん', '乾']",333.0,8.5,1.1,2.4,71.9,1700.0,130.0,17.0,19.0,70.0,0.6,0.4,0.11,0.5,0,10.0,1.0,12.0,0.0,0.0,0.3,0.0,0.08,0.02,0.9,0.04,0.0,9.0,0.45,1.3,0.0,28.0
61,こむぎ　［うどん・そうめん類］　干しうどん　ゆで,"['こ', 'むぎ', 'うどん', 'めん類', 'うどん']",117.0,3.1,0.5,0.7,25.8,210.0,14.0,7.0,4.0,24.0,0.2,0.1,0.04,0.14,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.02,0.01,0.2,0.01,0.0,2.0,0.14,0.0,0.0,14.0
62,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,"['こ', 'むぎ', 'うどん', 'めん類', 'めん', 'むぎ', '乾']",333.0,9.5,1.1,2.5,72.7,1500.0,120.0,17.0,22.0,70.0,0.6,0.4,0.12,0.44,0,16.0,1.0,14.0,0.0,0.0,0.3,0.0,0.08,0.02,0.9,0.03,0.0,8.0,0.7,1.3,0.0,24.0
63,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,"['こ', 'むぎ', 'うどん', 'めん類', 'めん', 'むぎ']",114.0,3.5,0.4,0.9,25.8,85.0,5.0,6.0,5.0,24.0,0.2,0.2,0.05,0.12,0,6.0,1.0,3.0,0.0,0.0,0.1,0.0,0.02,0.01,0.2,0.0,0.0,2.0,0.25,0.4,0.0,13.0
64,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾,"['こ', 'むぎ', 'うどん', 'めん類', '手', 'めん', '手', '延', 'むぎ', '乾']",312.0,9.3,1.5,1.8,68.9,2300.0,110.0,20.0,23.0,70.0,0.6,0.4,0.14,0.43,1,22.0,1.0,16.0,0.0,0.0,0.1,0.0,0.06,0.02,0.9,0.03,0.0,10.0,0.52,1.1,0.0,13.0
65,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで,"['こ', 'むぎ', 'うどん', 'めん類', '手', 'めん', '手', '延', 'むぎ']",119.0,3.5,0.6,1.0,25.5,130.0,5.0,6.0,4.0,23.0,0.2,0.1,0.05,0.12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.2,0.0,0.0,2.0,0.16,0.0,0.0,22.0
66,こむぎ　［中華めん類］　中華めん　生,"['こ', 'むぎ', '中華めん', '類', '中華めん', '生']",249.0,8.6,1.2,5.4,55.7,410.0,350.0,21.0,13.0,66.0,0.5,0.4,0.09,0.35,0,33.0,1.0,20.0,0.0,0.0,0.2,0.0,0.02,0.02,0.6,0.02,0.0,8.0,0.55,1.0,0.0,21.0
67,こむぎ　［中華めん類］　中華めん　ゆで,"['こ', 'むぎ', '中華めん', '類', '中華めん']",133.0,4.9,0.6,2.8,29.2,70.0,60.0,20.0,7.0,29.0,0.3,0.2,0.05,0.18,0,17.0,0.0,5.0,0.0,0.0,0.1,0.0,0.01,0.01,0.2,0.0,0.0,3.0,0.25,0.5,0.0,22.0
68,こむぎ　［中華めん類］　半生中華めん　,"['こ', 'むぎ', '中華めん', '類', '半生', '中華めん']",305.0,9.9,4.0,6.2,61.2,470.0,430.0,21.0,15.0,72.0,0.7,0.4,0.1,0.4,1,35.0,1.0,23.0,0.0,0.0,0.0,0.0,0.07,0.03,0.7,0.02,0.0,9.0,0.63,1.3,0.0,21.0
69,こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん,"['こ', 'むぎ', '中華めん', '類', '中華めん', '中華めん']",162.0,4.9,1.7,3.1,35.6,110.0,80.0,10.0,9.0,40.0,0.4,0.2,0.06,0.23,0,9.0,1.0,6.0,0.0,0.0,0.1,0.0,0.0,0.16,0.3,0.02,0.0,4.0,0.19,0.7,0.0,10.0
70,こむぎ　［中華めん類］　蒸し中華めん  ソテー,"['こ', 'むぎ', '中華めん', '類', '中華めん', 'ソテー']",211.0,5.2,4.9,3.6,38.9,130.0,87.0,10.0,10.0,43.0,0.4,0.2,0.06,0.25,0,10.0,1.0,7.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.02,0.0,4.0,0.21,0.8,0.0,18.0
71,こむぎ　［中華めん類］　干し中華めん　乾,"['こ', 'むぎ', '中華めん', '類', '中華めん', '乾']",337.0,11.7,1.6,6.0,70.2,410.0,300.0,21.0,23.0,82.0,1.1,0.5,0.15,0.44,0,24.0,1.0,18.0,0.0,0.0,0.2,0.0,0.02,0.03,0.8,0.05,0.0,11.0,0.76,1.4,0.0,26.0
72,こむぎ　［中華めん類］　干し中華めん　ゆで,"['こ', 'むぎ', '中華めん', '類', '中華めん']",132.0,4.9,0.5,2.6,27.5,66.0,42.0,13.0,10.0,29.0,0.4,0.2,0.05,0.18,0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.0,3.0,0.25,0.5,0.0,24.0
73,こむぎ　［中華めん類］　沖縄そば　生,"['こ', 'むぎ', '中華めん', '類', '沖縄', 'そば', '生']",266.0,9.2,2.0,2.1,54.2,810.0,340.0,11.0,50.0,65.0,0.7,1.1,0.18,0.69,0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.02,0.04,0.8,0.11,0.0,15.0,0.63,0.0,0.0,14.0
74,こむぎ　［中華めん類］　沖縄そば　ゆで,"['こ', 'むぎ', '中華めん', '類', '沖縄', 'そば']",132.0,5.2,0.8,1.5,28.0,170.0,80.0,9.0,28.0,28.0,0.4,0.6,0.1,0.37,0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.01,0.02,0.2,0.03,0.0,6.0,0.23,0.0,0.0,20.0
75,こむぎ　［中華めん類］　干し沖縄そば　乾,"['こ', 'むぎ', '中華めん', '類', '沖縄', 'そば', '乾']",317.0,12.0,1.7,2.1,67.8,1700.0,130.0,23.0,22.0,100.0,1.5,0.4,0.11,0.38,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.12,0.05,1.1,0.05,0.0,8.0,0.49,0.0,0.0,28.0
76,こむぎ　［中華めん類］　干し沖縄そば　ゆで,"['こ', 'むぎ', '中華めん', '類', '沖縄', 'そば']",132.0,5.2,0.6,1.5,28.6,200.0,10.0,11.0,8.0,36.0,0.5,0.1,0.05,0.16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.2,0.01,0.0,3.0,0.18,0.0,0.0,20.0
77,こむぎ　［即席めん類］　即席中華めん　油揚げ味付け,"['こ', 'むぎ', '即席', 'めん類', '即席', '中華めん', '油揚げ', '味付け']",424.0,10.1,16.7,2.5,63.5,2500.0,260.0,430.0,29.0,110.0,1.0,0.5,0.13,0.82,0,0.0,0.0,0.0,0.0,0.0,3.1,1.0,1.46,1.67,1.0,0.06,0.0,12.0,0.41,0.0,0.0,16.0
78,こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含むもの）,"['こ', 'むぎ', '即席', 'めん類', '即席', '中華めん', '油揚げ', '乾', '添付', '調味', '料', '等', 'もの']",439.0,10.1,19.1,2.4,61.4,2200.0,150.0,230.0,25.0,110.0,0.9,0.5,0.16,0.53,2,16.0,7.0,16.0,0.0,0.0,2.2,3.0,0.55,0.83,0.9,0.05,0.0,10.0,0.44,1.8,0.0,10.0
79,こむぎ　［即席めん類］　即席中華めん　油揚げ　調理後全体　（添付調味料等を含むもの）,"['こ', 'むぎ', '即席', 'めん類', '即席', '中華めん', '油揚げ', '調理', '後', '全体', '添付', '調味', '料', '等', 'もの']",100.0,2.3,4.4,0.5,13.4,430.0,33.0,28.0,6.0,20.0,0.2,0.1,0.03,0.12,0,4.0,2.0,4.0,0.0,0.0,0.5,1.0,0.02,0.13,0.2,0.01,0.0,2.0,0.1,0.4,0.0,11.0
80,こむぎ　［即席めん類］　即席中華めん　油揚げ　ゆで　（添付調味料等を含まないもの）,"['こ', 'むぎ', '即席', 'めん類', '即席', '中華めん', '油揚げ', '添付', '調味', '料', '等', 'もの']",189.0,3.9,7.7,2.6,27.9,150.0,34.0,95.0,8.0,40.0,0.2,0.2,0.05,0.17,1,9.0,2.0,6.0,0.0,0.0,0.8,0.0,0.05,0.06,0.3,0.01,0.0,3.0,0.11,0.7,0.0,28.0
81,こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含まないもの）,"['こ', 'むぎ', '即席', 'めん類', '即席', '中華めん', '油揚げ', '乾', '添付', '調味', '料', '等', 'もの']",461.0,8.9,19.6,5.5,65.5,580.0,150.0,220.0,20.0,97.0,0.6,0.4,0.09,0.42,1,24.0,5.0,18.0,0.0,0.0,2.2,1.0,0.16,0.19,1.1,0.05,0.0,9.0,0.26,1.6,0.0,17.0
