,名前,名詞,エネルギー,タンパク質,脂質,食物繊維総量,炭水化物,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,ビタミンA,ビタミンD,ビタミンE,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン,ビタミン6,ビタミン12,葉酸,パントテン酸,ビオチン,ビタミンC,time
2346,＜調味料類＞　（調味ソース類）　ごま酢,"['調味', '料', '類', '調味', 'ソース', '類', 'ごま', '酢']",217.0,4.0,8.0,1.9,29.9,670.0,110.0,180.0,61.0,100.0,1.7,1.0,0.26,0.49,0,5.0,1.0,23.0,0.0,0.0,0.0,2.0,0.08,0.06,1.0,0.12,0.1,26.0,0.13,3.7,0.0,14.0
2347,＜調味料類＞　（調味ソース類）　ごまだれ,"['調味', '料', '類', '調味', 'ソース', '類', 'ごま', 'だれ']",285.0,7.2,15.1,3.0,29.2,1700.0,210.0,220.0,100.0,200.0,2.3,1.6,0.42,0.75,0,10.0,2.0,46.0,0.0,0.0,0.0,1.0,0.11,0.09,2.0,0.19,0.1,38.0,0.2,6.1,0.0,28.0
2348,＜調味料類＞　（調味ソース類）　三杯酢,"['調味', '料', '類', '調味', 'ソース', '類', '三杯酢']",94.0,0.9,0.0,0,17.8,780.0,56.0,5.0,11.0,27.0,0.2,0.2,0.0,0.08,150,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.01,0.02,0.4,0.03,0.1,4.0,0.1,1.3,0.0,21.0
2349,＜調味料類＞　（調味ソース類）　二杯酢,"['調味', '料', '類', '調味', 'ソース', '類', '二杯酢']",67.0,3.5,0.0,0,7.6,2500.0,180.0,14.0,32.0,81.0,0.8,0.5,0.0,0.44,1,5.0,2.0,24.0,0.0,0.0,0.0,0.0,0.03,0.08,0.7,0.09,0.1,15.0,0.26,5.7,0.0,24.0
2350,＜調味料類＞　（調味ソース類）　すし酢　ちらし・稲荷用,"['調味', '料', '類', '調味', 'ソース', '類', 'すし', '酢', '稲荷', '用']",159.0,0.1,0.0,0,34.9,2500.0,18.0,3.0,5.0,10.0,0.1,0.1,0.0,0.0,0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.01,0.01,0.2,0.01,0.1,0.0,0.05,0.3,0.0,12.0
2351,＜調味料類＞　（調味ソース類）　すし酢　にぎり用,"['調味', '料', '類', '調味', 'ソース', '類', 'すし', '酢', '用']",81.0,0.2,0.0,0,14.3,3900.0,23.0,4.0,7.0,12.0,0.1,0.2,0.0,0.0,0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.01,0.01,0.2,0.02,0.1,0.0,0.07,0.3,0.0,16.0
2352,＜調味料類＞　（調味ソース類）　すし酢　巻き寿司・箱寿司用,"['調味', '料', '類', '調味', 'ソース', '類', 'すし', '酢', '寿司', '・', '箱', '寿司', '用']",117.0,0.1,0.0,0,23.8,3400.0,21.0,4.0,6.0,11.0,0.1,0.1,0.0,0.0,0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.01,0.01,0.2,0.01,0.1,0.0,0.06,0.3,0.0,27.0
2353,＜調味料類＞　（調味ソース類）　中華風合わせ酢,"['調味', '料', '類', '調味', 'ソース', '類', '中華', '風', '酢']",158.0,3.0,3.4,0,24.8,2200.0,160.0,12.0,28.0,69.0,0.7,0.4,0.01,0.47,0,4.0,1.0,20.0,0.0,0.0,0.0,0.0,0.02,0.07,0.6,0.08,0.1,13.0,0.22,4.9,0.0,12.0
2354,＜調味料類＞　（調味ソース類）　デミグラスソース,"['調味', '料', '類', '調味', 'ソース', '類', 'デミ', 'グラス', 'ソース']",82.0,2.9,3.0,0,11.0,520.0,180.0,11.0,11.0,53.0,0.3,0.3,0.03,0.09,2,1.0,7.0,3.0,0.0,0.0,0.0,0.0,0.04,0.07,1.7,0.05,0.2,25.0,0.18,1.8,0.0,11.0
2355,＜調味料類＞　（調味ソース類）　テンメンジャン,"['調味', '料', '類', '調味', 'ソース', '類', 'テンメンジャン']",249.0,8.5,7.7,3.1,38.1,2900.0,350.0,45.0,61.0,140.0,1.6,1.0,0.27,0.54,1,5.0,7.0,58.0,0.0,0.0,0.8,14.0,0.04,0.11,1.0,0.11,0.0,20.0,0.07,7.7,0.0,25.0
2356,＜調味料類＞　（調味ソース類）　冷やし中華のたれ,"['調味', '料', '類', '調味', 'ソース', '類', '冷やし中華']",117.0,2.1,1.2,0,23.1,2300.0,89.0,7.0,13.0,29.0,0.3,0.2,0.0,0.18,1,3.0,1.0,11.0,0.0,0.0,0.0,0.0,0.22,0.03,0.3,0.03,0.0,6.0,0.07,1.7,0.0,10.0
2357,＜調味料類＞　（調味ソース類）　ホワイトソース,"['調味', '料', '類', '調味', 'ソース', '類', 'ホワイト', 'ソース']",99.0,1.8,6.2,0.4,9.2,380.0,62.0,34.0,5.0,42.0,0.1,0.2,0.01,0.03,5,1.0,1.0,2.0,0.0,0.0,0.6,2.0,0.01,0.05,0.2,0.02,0.0,3.0,0.17,0.9,0.0,15.0
2358,＜調味料類＞　（調味ソース類）　ぽん酢しょうゆ,"['調味', '料', '類', '調味', 'ソース', '類', '酢', 'しょうゆ']",49.0,3.4,0.1,0.2,7.4,2300.0,280.0,24.0,33.0,72.0,0.7,0.4,0.02,0.46,1,4.0,1.0,19.0,0.0,0.0,0.1,0.0,0.05,0.08,0.6,0.08,0.0,20.0,0.37,4.9,24.0,27.0
2359,＜調味料類＞　（調味ソース類）　ぽん酢しょうゆ　市販品,"['調味', '料', '類', '調味', 'ソース', '類', '酢', 'しょうゆ', '市販', '品']",62.0,3.7,0.0,0.3,10.8,3100.0,180.0,16.0,25.0,60.0,0.7,0.3,0.01,0.36,*,3.0,2.0,18.0,0.0,0.0,0.0,0.0,0.02,0.05,0.7,0.06,0.0,17.0,0.17,3.1,0.0,22.0
2360,＜調味料類＞　（調味ソース類）　マーボー豆腐の素,"['調味', '料', '類', '調味', 'ソース', '類', 'マーボー', '豆腐', '素']",115.0,4.2,6.3,0,10.4,1400.0,55.0,12.0,0.0,35.0,0.8,0.0,0.0,0.0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.05,0.03,1.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0
2361,＜調味料類＞　（調味ソース類）　マリネ液,"['調味', '料', '類', '調味', 'ソース', '類', 'マリネ', '液']",70.0,0.1,0.0,0,10.9,370.0,26.0,4.0,3.0,6.0,0.2,0.0,0.01,0.04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.04,0.0,0.0,10.0
2362,＜調味料類＞　（調味ソース類）　ミートソース,"['調味', '料', '類', '調味', 'ソース', '類', 'ミート', 'ソース']",96.0,3.8,5.0,0,10.1,610.0,250.0,17.0,0.0,47.0,0.8,0.0,0.0,0.0,0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.14,0.05,1.4,0.0,0.0,0.0,0.0,0.0,6.0,28.0
